playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgRatio,ftRatio,threeRatio,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
wautean01w,5,0,NYL,WNBA,13,4,271,82,10,30,40,21,4,8,21,28,0.44,0.79,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wautean01w,6,0,NYL,WNBA,28,28,879,383,47,137,184,41,18,23,71,91,0.54,0.75,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wautean01w,9,0,SAS,WNBA,32,31,980,471,47,192,239,56,36,38,70,75,0.53,0.71,0.35,0,9,9,300,121,13,39,52,14,6,12,17,26,108,48,27,24,12,1,0
wautean01w,10,0,SAS,WNBA,17,16,463,220,29,66,95,19,13,6,44,39,0.55,0.67,0.17,0,3,3,82,32,8,15,23,10,0,0,4,7,36,14,5,4,0,0,0
weathte01w,1,0,NYL,WNBA,32,32,1078,205,16,93,109,205,65,5,86,85,0.44,0.74,0.25,0,7,7,253,32,2,17,19,49,19,0,20,20,34,12,11,7,5,1,1
weathte01w,2,0,NYL,WNBA,32,32,974,207,29,89,118,203,55,4,81,83,0.43,0.67,0.38,1,6,6,198,23,7,15,22,28,7,0,5,16,38,8,4,4,11,3,0
weathte01w,3,0,NYL,WNBA,32,32,954,108,23,63,86,181,42,3,78,88,0.34,0.52,0.1,2,8,8,241,53,8,27,35,53,8,0,14,18,40,19,18,15,2,0,0
weathte01w,4,0,NYL,WNBA,34,34,824,98,19,78,97,149,28,5,62,60,0.39,0.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weathte01w,5,0,LAS,WNBA,34,0,292,17,6,23,29,32,12,1,26,27,0.32,0.0,0.33,0,2,0,10,0,1,1,2,1,1,0,3,1,1,0,0,0,0,0,0
webbum01w,1,0,MIA,WNBA,13,5,195,43,3,11,14,14,7,4,23,29,0.25,0.84,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weberma01w,8,0,NYL,WNBA,2,0,4,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weckeke01w,6,0,SAS,WNBA,1,0,11,4,0,0,0,2,1,0,1,0,0.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weckeke01w,7,0,SAS,WNBA,34,11,578,190,22,62,84,47,11,3,32,42,0.35,0.78,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weckeke01w,8,0,SAS,WNBA,14,1,73,16,4,4,8,4,3,1,3,7,0.3,0.67,0.0,0,2,0,5,3,0,1,1,0,1,0,2,1,1,1,1,1,0,0,0
weckeke01w,9,0,WAS,WNBA,9,0,48,5,4,7,11,7,3,0,7,5,0.12,0.0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whaleli01w,5,0,CON,WNBA,31,30,946,275,21,69,90,148,39,0,94,72,0.45,0.73,0.35,0,8,8,255,107,5,13,18,41,11,3,17,23,65,30,53,43,11,4,0
whaleli01w,6,0,CON,WNBA,34,34,1047,411,29,99,128,172,42,2,89,90,0.47,0.8,0.35,0,7,7,220,78,6,18,24,23,6,1,20,11,57,19,48,37,15,3,0
whaleli01w,7,0,CON,WNBA,33,33,861,296,17,105,122,153,34,2,79,56,0.39,0.9,0.13,0,5,5,154,63,3,16,19,11,4,1,18,11,56,19,25,18,21,7,0
whaleli01w,8,0,CON,WNBA,34,34,1040,454,33,129,162,169,73,3,75,85,0.47,0.78,0.21,0,3,3,110,40,2,19,21,15,1,0,11,8,43,14,10,9,13,3,0
whaleli01w,9,0,CON,WNBA,31,31,908,435,33,141,174,166,45,1,58,87,0.46,0.8,0.34,0,3,3,90,40,3,11,14,12,4,0,7,7,30,12,15,13,12,3,0
whaleli01w,10,0,CON,WNBA,34,34,1000,419,40,116,156,156,43,5,63,87,0.43,0.89,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitede01w,5,0,NYL,WNBA,31,2,420,82,51,67,118,9,8,10,36,37,0.54,0.47,0.0,0,5,0,34,2,3,3,6,1,2,0,4,6,5,1,0,0,0,0,0
whitede01w,6,0,NYL,WNBA,13,0,90,16,9,13,22,0,4,3,3,15,0.36,0.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiteer01w,9,0,HOU,WNBA,34,2,426,121,14,33,47,47,23,3,48,60,0.28,0.9,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiteer01w,10,0,IND,WNBA,2,0,18,2,0,2,2,4,1,1,0,1,0.17,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiteta01w,6,0,IND,WNBA,34,3,693,242,21,32,53,53,30,7,70,62,0.33,0.81,0.31,1,4,0,16,0,2,0,2,1,0,0,0,1,8,0,0,0,1,0,0
whiteta01w,7,0,IND,WNBA,34,0,745,302,32,50,82,52,27,9,51,66,0.37,0.75,0.22,1,2,0,35,9,0,3,3,2,0,0,4,6,10,4,1,0,4,1,0
whiteta01w,8,0,IND,WNBA,34,9,841,368,25,65,90,65,36,10,99,76,0.39,0.84,0.34,2,5,1,82,9,2,7,9,10,5,2,9,10,15,4,0,0,6,1,0
